,tweet_text,date,hashtags,link
461,"Meanwhile, does this 'differ' mean waiving the payments for awhile or it's just deferring payments to a later date, more like giving us loans to 'consume' for payment after #COVID19UG is out? Let @nssfug clarify otherwise deferring to a future date doesn't help",2020-04-06 09:59:56+00:00,#COVID19UG,https://twitter.com/agadavus/status/1247101726152425472
462,"#COVID19UG Fact of the day: Avoid touching eyes, nose and mouth with your hands. Hands touch many surfaces and can pick up many viruses thus can transfer the viruses to these sensitive body parts. Let's all stay safe! #MakingLifeBrighter #STAYSAFEUG",2020-04-06 09:55:02+00:00,#COVID19UG #MakingLifeBrighter #STAYSAFEUG,https://twitter.com/DLightUganda/status/1247100494796947459
463,"Trapped in #LockDownUG, Asiimwe is headed 2 #SaudiArabia 4 #work. #Forced2Flee proposes critical roles for #FBOs in tackling #migration &amp; #humantrafficking in the wake of #COVID19UG. Click this link https://www.anchor-africa.org/index.php/resources/research-and-publications?view=download&amp;id=24 @UCATIP @capahq @irc_uganda @_GFEMS @StateDept @giz_gmbh",2020-04-06 09:42:19+00:00,#LockDownUG #SaudiArabia #work #Forced2Flee #FBOs #migration #humantrafficking #COVID19UG,https://twitter.com/AfricAnchor/status/1247097295637811200
464,"#COVID19UG Uganda needs to strengthen the multisectoral approach in address #Covid_19 along side other social problems like #childmarriage, #teenagepregnacy, #Genderbasedviolence among others @Moglsd_UG, @equalitynow, @GirlsNotBrides @UNFPAUganda, @MinofHealthUG @ntvuganda",2020-04-06 09:40:58+00:00,#COVID19UG #Covid_19 #childmarriage #teenagepregnacy #Genderbasedviolence,https://twitter.com/MosesNtenga/status/1247096953202147328
465,"Girls risk sexual violence & #unwantedPregnancies in homes with non supportive caretakers. Due to closing down of schools due #COVID19UG lockdown, many girls mayn't return 2school but married off. @DreamEDOU putting up measure to address this @GNBU19 @120Under40 @french_african",2020-04-06 08:57:52+00:00,#unwantedPregnancies #COVID19UG,https://twitter.com/BrMutebi/status/1247086106199363584
466,14/02/08 days of multiple lockdowns to go for Ugandans #lockdown #staysafe #covid19ug,2020-04-06 08:47:29+00:00,#lockdown #staysafe #covid19ug,https://twitter.com/iamgidudu/status/1247083492967698433
467,"#Foodprices have more than tripled Movement of persons has become difficult with banning of public and private transport most affected are #personwithdisabilities, parents or caretakers with young children, pregnant women and the sick. #endchildmarrriage, #COVID19UG #Covid_19",2020-04-06 08:41:59+00:00,#Foodprices #personwithdisabilities #endchildmarrriage #COVID19UG #Covid_19,https://twitter.com/MosesNtenga/status/1247082111061962753
468,Abit of pressure ups during this #COVID19 times. Failed to do even one jab ! I need to hit the gym #StayHome #COVID19UG ,2020-04-06 08:31:42+00:00,#COVID19 #StayHome #StayHome #COVID19UG,https://twitter.com/IvanPinno/status/1247079522551332867
469,Dear Entrepreneur or Business owner ... #Entrepreneur #Entrepreneurship #businessowner #Covid_19 #COVID19UG ,2020-04-06 08:27:25+00:00,#Entrepreneur #Entrepreneurship #businessowner #Covid_19 #COVID19UG,https://twitter.com/SuesanneTusiime/status/1247078445303070722
470,"Of UG Shs 304 Billion supplementary budget requested for mitigation of #COVID19UG effects, how much of this was allocated to prevention,response and mitigation of GBV? Given that lockdowns are highly increasing women's vulnerability to domestic violence and abuse. ",2020-04-06 08:10:29+00:00,#COVID19UG,https://twitter.com/KweetaUganda/status/1247074181847621633
471,"Outbreaks like #COVID19UG can heighten vulnerabilities of different groups, increase gender inequities &amp; lead to neglect of the needs and rights of the most marginalized, including women and girls, refugees, migrants, PWLDs, people living with HIV and sex workers. #SRHRandCOVID19",2020-04-06 08:03:42+00:00,#COVID19UG #SRHRandCOVID19,https://twitter.com/BakshiAsuman/status/1247072476158464001
472,@mtnug why don't you allow airtime to be used for the work at home bundle not the mobile money restriction. #Concernedstudenthere #COVID19UG,2020-04-06 08:00:34+00:00,#Concernedstudenthere #COVID19UG,https://twitter.com/samiemhindo/status/1247071689608957955
473,"As we join the rest of the world to fight this pandemic, here are some of the lessons for an effective community - led #HIV/AIDs response. #COVID19UG #STAYSAFEUG @UNAIDS_UG @EndAIDSBy2030Ug @MinofHealthUG",2020-04-06 07:35:23+00:00,#HIV #COVID19UG #STAYSAFEUG,https://twitter.com/aidscommission/status/1247065350300147712
474,"Let's continue to follow guidelines from @MinofHealthUG, the @WHO and @GovUganda on tackling #coronavirus: Wash your hands with soap, use mask if you have flu or cough, exercise social distancing, sanitise &amp; Stay at Home. #COVID19UG #coronavirus @ElsieAttafuah @WHOUganda",2020-04-06 07:29:42+00:00,#coronavirus #COVID19UG #coronavirus,https://twitter.com/UNDPUganda/status/1247063920982069249
475,This crisis has made it clear that #socialmediatax unreasonably limits people’s access to vital information and should be suspended until the pandemic is over. #COVID19UG #StayHome @MinofHealthUG @UCC_Official @JudithNabakoob1 @KagutaMuseveni,2020-04-06 07:24:49+00:00,#socialmediatax #COVID19UG #StayHome #StayHome,https://twitter.com/UnwantedWitness/status/1247062692680142853
476,"In our weekly news update, we bring you a policy tracker of economic policy measures that @GovUganda has put in place to safeguard Uganda's economy from impacts of #COVID19UG. @JuliusMukunda @BOU_Official @mofpedU @nssfug #STAYSAFEUG #StayHome",2020-04-06 07:24:33+00:00,#COVID19UG #STAYSAFEUG #StayHome #StayHome,https://twitter.com/CSBAGUGANDA/status/1247062623516065792
477,"On this International Day of Sport 4 Dev't & Peace, stay healthy & show solidarity for social distancing to stop #coronavirus. See https://un.org/en/observances/sport-day for ways 2 remain fit at home. #IDSDP2020 #COVID19UG @ElsieAttafuah @UNinUganda @MoICT_Ug @MinofHealthUG @Educ_SportsUg ©bglh",2020-04-06 07:01:14+00:00,#coronavirus #IDSDP2020 #COVID19UG,https://twitter.com/UNDPUganda/status/1247056756276113420
478,"Attention, @DianaAtwine advises everyone jogging to adhere to #SocialDistancing as a measure to fight the spread of #COVID19UG. Otherwise.... ",2020-04-06 07:01:11+00:00,#SocialDistancing #COVID19UG,https://twitter.com/ikyomuhendo/status/1247056742674042880
479,Last evening we added another 4 positive cases of #COVID19UG —The good news it’s from those under quarantine. The Chief commander of #COVID19UG national task force HE @KagutaMuseveni will address the nation tomorrow on 7th at 8 PM—Tune in any media station 4 a live broadcast.,2020-04-06 06:50:50+00:00,#COVID19UG #COVID19UG,https://twitter.com/RSKmoses/status/1247054139282128898
480,"1of2 #COVID19UG #Covid_19 As we flout #coronavirus safety guidelines - #socialdistancing #StaySafeStayHome, have we thought about patient 1? #Covid19 patient care is evidently costly &amp; lengthy, implying an impending strain on #healthcare system, were cases to sharply rise.",2020-04-06 06:14:47+00:00,#COVID19UG #Covid_19 #coronavirus #socialdistancing #StaySafeStayHome #Covid19 #healthcare,https://twitter.com/NansinguzaJ/status/1247045065949749248
481,"Who initiates the process/bill to effect this proposal? I read your response that a bill is already before @Parliament_Ug, so we demand our MPs to move on it faster. Does this bill has the suggested proposal to advance a 10% or so in this situation we are in now? #COVID19UG ",2020-04-06 04:54:04+00:00,#COVID19UG,https://twitter.com/BSenfuka/status/1247024754328055808
482,"In addition, provide a budget to repair so many 4x4 vehicles parked in compounds of MDAs &districts across the country, many are due to simple repairable conditions. This will provide adequate fleet to tackle #COVID19UG. If this is done, the 'baggaga' donate for other priorities.",2020-04-06 04:40:52+00:00,#COVID19UG,https://twitter.com/BSenfuka/status/1247021432560910336
483,LINKS TO HOLIDAY WORK I'm glad to share download links to some holiday work so as to keep our learners busy. Tap on the link to your class and choose what you wish to download. S.6 LINK - https://drive.google.com/open?id=1Astm8OeEBSCrjAZLJ9XlkAI7KkFIhAsB S.5 LINK - https://drive.google.com/open?id=1V1gZZG8-ut42NObfQgeHf-gqOLxmRx3V #COVID19UG,2020-04-06 04:20:25+00:00,#COVID19UG,https://twitter.com/ug_teacher/status/1247016284954361857
484,"Breastfeeding mothers are being given milk on top of salt,Posho & beans. Govt remains committed to helping Ugandans affected by the lock down in this fight against #COVID19UG. Thank you HEx the President @KagutaMuseveni",2020-04-06 04:15:19+00:00,#COVID19UG,https://twitter.com/AsantejnrRuhima/status/1247015001916870656
485,"Uganda's #COVID19UG cases reach 52, nearly a month after the first case was registered @jonahkirabo reports. Pres @KagutaMuseveni is set to address the nation for the 9th time on this Tue, April 7, 2020 as 14day lockdown nears end https://bit.ly/2UIPXmG",2020-04-06 03:40:41+00:00,#COVID19UG,https://twitter.com/DavidTumusiime/status/1247006288107765761
486,"Avoid close contact with people to help slow the spread of coronavirus, especially if you are 65 & older or have an underlying medical condition like lung disease, heart disease or diabetes. Take steps to protect yourself & slow the spread of coronavirus. #StaySafeUG #covid19ug",2020-04-05 22:46:02+00:00,#StaySafeUG #covid19ug,https://twitter.com/SsesangaDennis/status/1246932132842418187
487,"4 more test positive to Covid19 bringing talk to 52, all from Dubai - http://tinyurl.com/wasrc3e #CoronavirusUganda #covid19UG #Dubai #testpositive #News",2020-04-05 20:41:34+00:00,#CoronavirusUganda #covid19UG #Dubai #testpositive #News,https://twitter.com/watchdogug/status/1246900810933579776
488,https://twitter.com/MarthaKayug/status/1246739694865481729?s=19 More Than #COVID19UG Vaccine Gwe Va Ku Sanitizer Simanyi bi Stanlizer ,2020-04-05 20:26:46+00:00,#COVID19UG,https://twitter.com/NeiThanRwomkabz/status/1246897086018334731
489,"Reports through Hotline 0800 200 600 of increased violence due to #COVID19UG Confinement of families at home. CDFU with support from @unwomenuganda proving information, counseling &amp;referrals to services through tollfree hotline 0800 200 600 to #EndViolence @MakeHappiness2 https://twitter.com/drtedros/status/1246517636760027139",2020-04-05 20:06:36+00:00,#COVID19UG #EndViolence,https://twitter.com/CDFUUG/status/1246892013468999680
490,"CDFU in partnership with @unwomenuganda , @SwedeninUG , @GlobalSpotlight working to mitigate effects of #COVID19UG. increased violence against women and girls due to confinement by stay-at-home &amp; economic pressure. Ring tollfree hotline 0800 200 600 @MakeHappiness2",2020-04-05 19:53:08+00:00,#COVID19UG,https://twitter.com/CDFUUG/status/1246888624337158146
491,Our lead columnist - @DaakiJoshua is back again with a new informative piece. &gt;&gt; How Coronavirus is affecting Small Businesses and Pricing https://bit.ly/3bM87cE via @SparklingNewUG #COVID19 #COVID19UG #STAYSAFEUG,2020-04-05 19:51:28+00:00,#COVID19 #COVID19UG #STAYSAFEUG,https://twitter.com/SparklingNewUG/status/1246888205045153792
492,#COVID19UG status updates Total positive cases : 52 Negative : 296 Positive : 4 Total tested: 300 All 4 positive cases were travelers from abroad that were under quarantine. Prevention; 1. Social distancing 2. Regularly washing hands with soap.,2020-04-05 19:49:00+00:00,#COVID19UG,https://twitter.com/DianaNabuuso/status/1246887582794948608
493,#COVID19UG positive cases rise to 52. #STAYSAFEUG #TogetherWeCanDoIt #Tonsembelela,2020-04-05 19:46:55+00:00,#COVID19UG #STAYSAFEUG #TogetherWeCanDoIt #Tonsembelela,https://twitter.com/ikyomuhendo/status/1246887057361903616
494,Uganda confirms 4 more cases of COVID-19 out of the 300 samples tested today. #STAYSAFEUG #COVID19UG #COVID2019,2020-04-05 19:46:17+00:00,#STAYSAFEUG #COVID19UG #COVID2019,https://twitter.com/DoreenWatsemba/status/1246886898091556865
495,"Those jogging on Northern by pass mujjebale , 52 cases of #COVID19UG now confirmed. 300 samples were tested and 4 came out positive. It’s you to protect yourself and relatives or family from #COVID19 #LetsFightCovid19",2020-04-05 19:46:12+00:00,#COVID19UG #COVID19 #LetsFightCovid19,https://twitter.com/kyobesarah/status/1246886878697213953
496,"#COVID19UG Update: 4 more samples tested positive for COVID-19 today, out of 300 samples making a total 52 people with the disease in the country. This is according to @KagutaMuseveni who will address the country again on Tuesday. #NTVNews",2020-04-05 19:43:59+00:00,#COVID19UG #NTVNews,https://twitter.com/MwesigyeWalter/status/1246886321832034309
497,This gives me hope #QueensSpeech #COVID19UG ,2020-04-05 19:39:02+00:00,#QueensSpeech #COVID19UG,https://twitter.com/johnsilco/status/1246885073238003722
498,Thank you for a good #sermon today...@watotochurch - Pastor Julius...yes no amount of good matters but Jesus! The Holy Communion was well recieved Pastor Eddy...our prays for our children diagnosed with #COVID19UG - we continue to pray for healing. ,2020-04-05 19:23:21+00:00,#sermon #COVID19UG,https://twitter.com/r_ssewa/status/1246881127417163783
499,Am impressed. Let's keep leveraging digital tech for the better #Covid_19 #COVID19UG #STAYSAFEUG #StayHome,2020-04-05 18:52:45+00:00,#Covid_19 #COVID19UG #STAYSAFEUG #StayHome #StayHome,https://twitter.com/IvanPinno/status/1246873425752346624
500,"ATTENTION. Fans and Friends , please Disregard rumors moving around that @eddykenzoficial has tasted positive for #COVID19UG it’s not true however eddy Kenzo has always been disturbed by ulcers and they are the reason he isn’t feeling well. #StaySafe",2020-04-05 17:54:57+00:00,#COVID19UG #StaySafe,https://twitter.com/akmartos1/status/1246858882716221449
501,"Dear @JaneRuth_Aceng , I propose mandatory testing For COVID19 of all people visiting both private and public health facilities. I don't know how feasible that is, but could help significantly. @KagutaMuseveni @OfwonoOpondo @nyamadon @MoICT_Ug #COVID19UG",2020-04-05 17:40:48+00:00,#COVID19UG,https://twitter.com/EkakoroFredrick/status/1246855318585434112
502,How Coronavirus is affecting Small Businesses and Pricing https://bit.ly/3bM87cE via @SparklingNewUG #COVID19 #COVID19UG #STAYSAFEUG,2020-04-05 17:30:45+00:00,#COVID19 #COVID19UG #STAYSAFEUG,https://twitter.com/Phathahofficial/status/1246852792813268993
503,Government stay at home...stay inside your home...What of those with unpaid rent? ...#COVID19UG ,2020-04-05 17:30:16+00:00,#COVID19UG,https://twitter.com/Kikonyogoeria/status/1246852669765029894
504,"Labeling this Food this way is more than stigmatizing, spiritually its wrong. And just a reminder. This food isnt free, its paid for by the reciepients through taxes. Neverthe less, thanks for the relief. #COVID19UG ",2020-04-05 16:37:46+00:00,#COVID19UG,https://twitter.com/modernmuhereza1/status/1246839456822448131
505,Kabale Hospital Not Ready to Handle #Covid19 - MPs #ChimpReportsNews #UgandaNews #Uganda #Featured #Kabale #COVID19UG @Parliament_Ug @MinofHealthUG #WashYourHands #StaySafeUG #SocialDistancing #StayHome #News,2020-04-05 16:26:31+00:00,#Covid19 #ChimpReportsNews #UgandaNews #Uganda #Featured #Kabale #COVID19UG #WashYourHands #WashYourHands #StaySafeUG #SocialDistancing #StayHome #StayHome #News,https://twitter.com/ChimpReports/status/1246836625075732486
